name,year,month,retail_and_recreation_percent_change_from_baseline
Georgia,2021,1,-54.82258064516129
Georgia,2021,2,-39.107142857142854
Georgia,2021,3,-28.02173913043478
Germany,2020,2,1.1411764705882352
Germany,2020,3,-26.84629981024668
Germany,2020,4,-51.219607843137254
Germany,2020,5,-30.40607210626186
Germany,2020,6,-12.678431372549019
Germany,2020,7,-1.618595825426945
Germany,2020,8,-1.7855787476280836
Germany,2020,9,-0.34705882352941175
Germany,2020,10,-10.123339658444023
Germany,2020,11,-29.562745098039215
Germany,2020,12,-43.47628083491461
Germany,2021,1,-59.878557874762805
Germany,2021,2,-52.29621848739496
Germany,2021,3,-38.915601023017906
Ghana,2020,2,-2.5555555555555554
Ghana,2020,3,-12.612903225806452
Ghana,2020,4,-47.98888888888889
Ghana,2020,5,-25.967741935483872
Ghana,2020,6,-15.477777777777778
Ghana,2020,7,-9.53763440860215
Ghana,2020,8,-3.6881720430107525
Ghana,2020,9,0.24444444444444444
Ghana,2020,10,-1.8387096774193548
Ghana,2020,11,3.8444444444444446
Ghana,2020,12,8.881720430107526
Ghana,2021,1,3.903225806451613
Ghana,2021,2,1.0
Ghana,2021,3,6.666666666666667
Greece,2020,2,3.9
Greece,2020,3,-39.70967741935484
Greece,2020,4,-71.10416666666667
Greece,2020,5,-37.58870967741935
Greece,2020,6,-5.025
Greece,2020,7,23.56048387096774
Greece,2020,8,39.0
Greece,2020,9,10.922413793103448
Greece,2020,10,-2.6048387096774195
Greece,2020,11,-51.225
Greece,2020,12,-52.45564516129032
Greece,2021,1,-54.310483870967744
Greece,2021,2,-51.950892857142854
Greece,2021,3,-54.66304347826087
Guatemala,2020,2,-0.31283422459893045
Guatemala,2020,3,-29.413568166992825
Guatemala,2020,4,-56.61923847695391
Guatemala,2020,5,-54.222511385816524
Guatemala,2020,6,-46.48440610484406
Guatemala,2020,7,-45.608274078862316
Guatemala,2020,8,-37.08627858627859
Guatemala,2020,9,-29.885304659498207
Guatemala,2020,10,-26.208646616541355
Guatemala,2020,11,-22.30779305828422
Guatemala,2020,12,-8.951815181518151
Guatemala,2021,1,-17.096670934699105
Guatemala,2021,2,-14.84221902017291
Guatemala,2021,3,-12.306797853309481
Haiti,2020,2,-13.333333333333334
Haiti,2020,3,-16.70967741935484
Haiti,2020,4,-36.08888888888889
Haiti,2020,5,-32.924731182795696
Haiti,2020,6,-28.333333333333332
Haiti,2020,7,-18.86021505376344
Haiti,2020,8,-8.403225806451612
Haiti,2020,9,-7.057971014492754
Haiti,2020,10,-10.720430107526882
Haiti,2020,11,-12.155555555555555
Haiti,2020,12,-2.2903225806451615
Haiti,2021,1,-21.462365591397848
Haiti,2021,2,-33.714285714285715
Haiti,2021,3,-17.855072463768117
Honduras,2020,2,-4.12531328320802
Honduras,2020,3,-41.24752475247525
Honduras,2020,4,-75.00396825396825
Honduras,2020,5,-68.15211970074813
Honduras,2020,6,-57.0675
Honduras,2020,7,-57.25631768953068
Honduras,2020,8,-54.91881188118812
Honduras,2020,9,-40.994949494949495
Honduras,2020,10,-36.09199522102748
Honduras,2020,11,-38.38721351025332
Honduras,2020,12,-20.32850241545894
Honduras,2021,1,-30.225921521997623
Honduras,2021,2,-27.679094540612518
Honduras,2021,3,-22.772875816993466
Hungary,2020,2,6.742857142857143
Hungary,2020,3,-19.668202764976957
Hungary,2020,4,-42.196172248803826
Hungary,2020,5,-14.105590062111801
Hungary,2020,6,8.84664536741214
Hungary,2020,7,23.259659969088098
Hungary,2020,8,25.45
Hungary,2020,9,6.727650727650728
Hungary,2020,10,1.1298299845440494
Hungary,2020,11,-17.976114649681527
Hungary,2020,12,-22.550077041602464
Hungary,2021,1,-32.06605222734255
Hungary,2021,2,-24.348122866894197
Hungary,2021,3,-28.7
India,2020,2,1.050464527027027
India,2020,3,-21.688917262512767
India,2020,4,-72.48315512331416
India,2020,5,-68.70969770000524
India,2020,6,-52.15827843179609
India,2020,7,-51.2861694348689
India,2020,8,-44.25976655550262
India,2020,9,-31.218355170800187
India,2020,10,-20.684630020054506
India,2020,11,-14.738820272572402
India,2020,12,-16.72329922353062
India,2021,1,-18.758933606767496
India,2021,2,-15.568961599636447
India,2021,3,-12.756534365924491
Indonesia,2020,2,-1.8761904761904762
Indonesia,2020,3,-12.745622119815668
Indonesia,2020,4,-38.17333333333333
Indonesia,2020,5,-34.133640552995395
Indonesia,2020,6,-22.69333333333333
Indonesia,2020,7,-15.723502304147466
Indonesia,2020,8,-12.05781990521327
Indonesia,2020,9,-14.057281553398058
Indonesia,2020,10,-14.40552995391705
